stock_code,close_price,MA120,MA250,price_x1.1,filter_reason
002902,20.86,21.41,22.22,22.95,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603713,51.99,51.57,52.45,57.19,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
300832,62.94,67.06,69.31,69.23,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
688161,24.99,25.01,25.51,27.49,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603393,29.58,32.08,31.7,32.54,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603836,12.24,12.32,12.5,13.46,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600053,14.4,14.5,14.79,15.84,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
301227,16.44,17.06,20.14,18.08,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
688615,217.2,,,238.92,
603220,20.91,21.2,21.76,23.0,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688103,37.3,37.94,35.66,41.03,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603097,21.8,21.61,23.01,23.98,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
301208,32.21,33.57,29.76,35.43,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603505,26.08,25.04,26.93,28.69,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
603685,11.75,11.78,12.12,12.93,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
300037,34.17,36.34,35.6,37.59,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
301391,36.36,37.23,51.16,40.0,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
600461,9.47,9.87,9.94,10.42,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688358,24.59,24.31,26.32,27.05,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
605177,17.92,18.75,20.46,19.71,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
300233,13.12,12.83,14.11,14.43,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
600525,4.74,4.9,4.63,5.21,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
601827,7.91,8.56,8.22,8.7,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
300318,5.57,5.64,5.31,6.13,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
300982,17.61,17.77,19.12,19.37,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
301517,49.7,52.44,51.28,54.67,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688719,27.05,25.8,29.34,29.76,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688192,41.69,41.75,40.75,45.86,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
300867,12.68,12.7,12.27,13.95,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603616,3.43,3.5,3.57,3.77,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601882,21.36,21.46,23.41,23.5,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688100,36.18,37.45,35.61,39.8,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
601069,11.87,11.98,11.88,13.06,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600312,18.34,18.7,16.81,20.17,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
601089,15.28,15.52,14.96,16.81,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
300040,5.74,6.19,5.62,6.31,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
301536,80.71,47.47,,88.78,收盘价*1.1 >= MA120
300609,23.22,26.4,22.52,25.54,收盘价*1.1 >= MA250 且 收盘价 <= MA120
603087,44.13,44.44,44.42,48.54,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688357,21.72,22.85,26.37,23.89,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
600998,4.97,5.07,5.34,5.47,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600027,5.02,5.47,5.87,5.52,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002643,10.32,10.17,11.17,11.35,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
603300,5.17,5.16,5.53,5.69,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688618,21.76,21.4,24.65,23.94,收盘价*1.1 >= MA120 且 收盘价 <= MA250
601179,7.35,7.53,6.91,8.09,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603496,22.32,24.16,25.17,24.55,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
