序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5638,600163,中闽能源,5.35,-3.6,-0.2,292644.0,158173568.0,5.41,5.63,5.33,5.63,5.55,2.38,1.54,18.66,1.55,10181029365.0,10181029365.0,-0.19,0.0,-9.78,-12.15
5639,688303,大全能源,22.17,-3.61,-0.83,126984.0,281223236.0,5.04,22.99,21.83,22.85,23.0,1.27,2.3,-32.45,1.13,47559210901.0,12253485901.0,0.0,0.05,-25.35,-8.16
5640,301489,思泉新材,64.27,-3.63,-2.42,39747.0,254790830.92,2.14,64.98,63.55,64.5,66.69,1.5,11.69,66.65,3.62,3707179336.0,2185201916.0,-0.03,0.03,-2.47,-5.82
5641,603009,北特科技,50.19,-3.63,-1.89,162973.0,807867004.0,4.47,50.91,48.58,50.5,52.08,0.9,4.82,209.56,9.59,16990628372.0,16984746204.0,0.0,0.02,77.66,28.43
5642,000622,*ST恒立,2.1,-3.67,-0.08,120552.0,25398594.0,4.59,2.17,2.07,2.14,2.18,1.63,2.84,-41.3,5.36,892974600.0,892974600.0,0.0,0.0,-1.87,0.96
5643,000921,海信家电,29.58,-3.68,-1.13,174259.0,518533366.77,4.49,30.7,29.32,30.7,30.71,1.87,1.91,11.01,2.77,40998187780.0,26971970653.0,-0.07,0.03,-0.3,2.35
5644,301031,中熔电气,118.41,-3.69,-4.54,9670.0,113749255.0,5.81,122.67,115.53,122.5,122.95,0.78,2.03,49.06,7.23,7847910131.0,5644415718.0,0.54,0.53,5.26,13.83
5645,603713,密尔克卫,50.7,-3.74,-1.97,20080.0,102754063.0,3.7,52.65,50.7,52.65,52.67,1.93,1.27,12.27,1.86,8018859740.0,8017045947.0,-0.12,-0.04,-15.25,-0.98
5646,603728,鸣志电器,75.6,-3.82,-3.0,258072.0,1929540333.0,5.34,77.7,73.5,77.0,78.6,1.64,6.16,502.44,11.0,31667517000.0,31667517000.0,-0.13,0.16,43.59,40.0
5647,605376,博迁新材,29.42,-3.86,-1.18,63434.0,186936638.0,8.07,31.12,28.65,31.0,30.6,2.07,2.42,67.85,5.02,7696272000.0,7696272000.0,-0.07,-0.03,-0.74,1.62
5648,300547,川环科技,27.8,-3.87,-1.12,231296.0,649571172.8,6.47,29.35,27.48,28.5,28.92,0.75,12.98,30.66,5.26,6029991637.0,4954615997.0,0.14,-0.18,32.0,0.94
5649,002134,天津普林,19.51,-3.94,-0.8,140514.0,273287892.76,6.6,20.28,18.94,20.28,20.31,1.46,5.72,116.28,10.07,4796528974.0,4796528974.0,-0.05,-0.26,-2.16,1.61
5650,002779,中坚科技,102.2,-3.95,-4.2,53522.0,540050107.56,4.86,104.0,98.83,102.15,106.4,0.82,4.52,253.63,18.8,13490400000.0,12104008455.0,0.0,-0.25,115.48,50.29
5651,688584,上海合晶,18.15,-3.97,-0.75,133523.0,245251706.0,5.19,18.91,17.93,18.86,18.9,4.87,3.93,114.85,2.96,12078069107.0,6167159333.0,0.17,0.11,4.07,-7.21
5652,605255,天普股份,14.14,-4.01,-0.59,85195.0,121019516.0,3.6,14.59,14.06,14.5,14.73,5.01,6.35,77.34,2.36,1895891200.0,1895891200.0,0.07,0.07,7.37,12.31
5653,603166,福达股份,10.6,-4.07,-0.45,761841.0,799760207.0,4.52,10.79,10.29,10.5,11.05,1.15,11.92,42.51,2.95,6849811701.0,6773491701.0,0.0,0.0,51.0,45.8
5654,301291,明阳电气,45.75,-4.13,-1.97,54155.0,247382516.02,6.04,47.76,44.88,47.76,47.72,1.19,3.1,24.59,3.21,14283150000.0,7995782171.0,0.0,-0.04,9.55,4.17
5655,600261,阳光照明,3.7,-4.39,-0.17,1211964.0,451147336.0,3.62,3.82,3.68,3.8,3.87,1.11,9.08,24.4,1.42,4939695974.0,4939695974.0,-0.27,0.0,13.85,13.15
5656,605499,东鹏饮料,222.0,-4.44,-10.31,62225.0,1369677224.0,5.45,227.67,215.02,227.67,232.31,2.7,1.2,31.98,16.44,115442886000.0,115442886000.0,0.0,0.01,-0.66,-10.67
5657,301261,恒工精密,59.15,-4.44,-2.75,71901.0,424661488.55,2.65,59.94,58.3,59.94,61.9,0.82,18.98,40.56,3.33,5198705093.0,2241205093.0,0.08,-0.19,42.36,42.94
5658,603983,丸美生物,30.42,-4.46,-1.42,42078.0,129097731.0,5.4,31.83,30.11,31.72,31.84,2.48,1.05,38.31,3.61,12198420000.0,12198420000.0,0.0,0.03,-2.5,-5.7
5659,601689,拓普集团,69.89,-4.53,-3.32,587636.0,4074812526.0,6.15,72.5,68.0,71.99,73.21,1.32,3.49,39.56,6.29,117836333028.0,117836333028.0,0.0,0.43,40.31,42.63
5660,688578,艾力斯,68.3,-4.61,-3.3,65505.0,451864978.0,4.76,71.58,68.17,71.58,71.6,1.21,1.46,21.69,6.32,30735000000.0,30735000000.0,0.0,-0.07,25.0,14.02
5661,603606,东方电缆,49.86,-4.65,-2.43,188337.0,948141458.0,5.26,52.55,49.8,52.25,52.29,2.23,2.74,27.59,4.96,34289488248.0,34289488248.0,0.0,0.0,-13.71,-5.12
5662,300307,慈星股份,8.83,-4.75,-0.44,1336305.0,1179491223.16,4.21,9.12,8.73,9.04,9.27,0.89,17.05,16.99,2.17,7013216692.0,6921163571.0,0.0,0.23,10.93,7.16
5663,002698,博实股份,19.14,-4.87,-0.98,584303.0,1119881309.53,5.37,19.98,18.9,19.97,20.12,1.58,6.94,32.17,5.36,19571783031.0,16105053938.0,0.1,0.05,27.18,12.59
5664,688608,恒玄科技,376.6,-4.9,-19.4,40297.0,1522690681.0,6.31,395.0,370.0,390.11,396.0,1.28,3.36,117.28,7.15,45209157519.0,45209157519.0,0.13,-0.25,61.99,15.75
