序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2395,603214,爱婴室,22.08,1.19,0.26,44935.0,99626620.0,6.14,22.66,21.32,21.73,21.82,0.71,3.24,47.91,2.79,3058963995.0,3058963995.0,0.27,0.27,19.55,-2.13
2396,600582,天地科技,5.95,1.19,0.07,448952.0,266407667.0,2.55,5.99,5.84,5.88,5.88,1.41,1.08,8.49,1.03,24624603907.0,24624603907.0,0.0,0.17,-5.1,-3.72
2397,300555,ST路通,8.5,1.19,0.1,37020.0,31555721.0,3.45,8.68,8.39,8.58,8.4,1.6,1.87,-34.72,3.19,1700000000.0,1681493061.0,0.35,0.24,5.59,-2.19
2398,603799,华友钴业,30.63,1.19,0.36,367812.0,1123204584.0,2.68,30.85,30.04,30.3,30.27,1.47,2.18,12.87,1.52,51831506725.0,51652503168.0,0.0,0.03,-15.87,4.68
2399,600319,亚星化学,5.11,1.19,0.06,38120.0,19499010.0,3.17,5.16,5.0,5.0,5.05,1.15,1.21,-15.11,3.63,1981194952.0,1612685340.0,0.0,0.0,3.65,6.46
2400,001255,博菲电气,30.67,1.19,0.36,25770.0,79450039.0,4.65,31.35,29.94,30.82,30.31,1.02,12.89,148.36,3.39,2453600000.0,613400000.0,-0.03,0.13,26.06,8.03
2401,002166,莱茵生物,7.67,1.19,0.09,148137.0,113274091.36,2.24,7.73,7.56,7.58,7.58,1.46,3.31,41.98,1.87,5688252437.0,3432833828.0,0.13,0.26,-8.91,2.68
2402,600970,中材国际,9.38,1.19,0.11,202095.0,189366360.0,2.7,9.47,9.22,9.27,9.27,1.29,0.9,9.02,1.22,24782164184.0,20956312799.0,0.0,0.0,-14.42,-1.05
2403,000505,京粮控股,5.97,1.19,0.07,99976.0,59752258.84,2.37,6.02,5.88,5.9,5.9,1.91,1.58,116.85,1.38,4339892998.0,3775310606.0,0.17,0.17,-12.97,-3.08
2404,688569,铁科轨道,20.48,1.19,0.24,10177.0,20795938.0,2.82,20.66,20.09,20.32,20.24,1.87,0.48,23.74,1.56,4314454016.0,4314454016.0,0.05,0.1,-12.85,-3.53
2405,601669,中国电建,5.12,1.19,0.06,884822.0,451491701.0,2.37,5.15,5.03,5.05,5.06,1.35,0.68,7.51,0.65,88197935790.0,66926212352.0,0.2,0.0,-11.72,-6.23
2406,002437,誉衡药业,2.56,1.19,0.03,749150.0,191624594.0,2.77,2.59,2.52,2.52,2.53,1.31,3.42,23.86,3.06,5836159872.0,5608704077.0,0.39,0.39,4.49,2.81
2407,000767,晋控电力,2.56,1.19,0.03,234870.0,60034892.62,2.37,2.58,2.52,2.52,2.53,1.26,0.81,-19.3,1.37,7876972081.0,7455350876.0,0.39,0.39,-5.54,1.19
2408,001318,阳光乳业,11.11,1.18,0.13,30813.0,34216690.0,2.46,11.22,10.95,11.0,10.98,1.45,4.0,27.55,2.28,3140352600.0,856136600.0,0.09,0.18,-1.94,-2.29
2409,603105,芯能科技,8.55,1.18,0.1,124102.0,106211852.0,2.49,8.65,8.44,8.44,8.45,1.71,2.48,17.24,2.1,4275055071.0,4275055071.0,0.0,0.12,-6.35,-5.11
2410,601186,中国铁建,8.55,1.18,0.1,609117.0,518026154.0,2.25,8.6,8.41,8.45,8.45,1.78,0.53,5.55,0.45,116105079825.0,98352749025.0,0.12,0.12,-10.09,-6.76
2411,600720,中交设计,8.55,1.18,0.1,83158.0,70947651.0,2.37,8.61,8.41,8.45,8.45,1.87,1.07,15.01,1.38,19618792081.0,6636190974.0,0.12,0.12,-16.83,-3.5
2412,300001,特锐德,23.94,1.18,0.28,220319.0,526844177.01,3.89,24.3,23.38,23.7,23.66,1.27,2.14,42.45,3.66,25273259609.0,24609029514.0,0.0,0.13,1.53,9.07
2413,300796,贝斯美,10.27,1.18,0.12,74142.0,76797492.1,3.84,10.52,10.13,10.16,10.15,1.4,2.05,1212.0,2.12,3708937295.0,3708937295.0,0.0,0.0,-3.66,0.59
2414,300531,优博讯,14.55,1.18,0.17,119752.0,173431151.88,3.41,14.7,14.21,14.42,14.38,1.7,3.8,204.92,3.17,4770885709.0,4584938353.0,0.0,0.14,-8.95,4.3
2415,600027,华电国际,5.14,1.18,0.06,616593.0,315389514.0,2.36,5.17,5.05,5.08,5.08,1.18,0.72,7.65,1.26,52569664224.0,43743083520.0,0.0,-0.19,-9.82,-8.38
2416,300034,钢研高纳,15.43,1.18,0.18,131382.0,202328073.2,2.36,15.55,15.19,15.26,15.25,1.73,1.71,38.19,3.42,11960374912.0,11824886705.0,0.06,0.06,-14.28,-1.09
2417,002879,长缆科技,15.46,1.18,0.18,61279.0,94852726.0,2.88,15.7,15.26,15.31,15.28,0.84,4.44,40.26,1.76,2985444114.0,2131686717.0,0.0,0.06,7.51,2.79
2418,688087,英科再生,31.8,1.18,0.37,23700.0,74901955.0,4.26,32.26,30.92,31.43,31.43,1.49,1.27,22.95,2.42,5953806198.0,5922606582.0,0.03,0.13,9.58,4.92
2419,605177,东亚药业,18.05,1.18,0.21,12606.0,22705323.0,2.07,18.16,17.79,17.84,17.84,1.1,1.12,34.39,1.09,2071304772.0,2032134413.0,0.17,0.22,-4.85,-8.38
2420,601579,会稽山,10.32,1.18,0.12,51393.0,52907428.0,2.35,10.39,10.15,10.19,10.2,1.24,1.07,32.95,1.37,4948062381.0,4948062381.0,0.1,0.29,-4.8,-6.69
2421,600176,中国巨石,11.18,1.18,0.13,223336.0,248645422.0,1.9,11.2,10.99,11.01,11.05,0.79,0.56,21.89,1.54,44755068619.0,44755068619.0,0.0,0.18,-2.53,-1.84
