Index,Stock Code,FilteredBy
332,688168,Filter1
333,688011,Filter2
334,000639,Filter2
335,688350,Filter2
336,000638,Filter2
337,002789,Filter2
338,300968,Filter1
339,603366,Filter3
340,300682,Filter1
341,600439,Filter2
342,001215,
343,688238,
344,002734,Filter2
345,300188,Filter2
346,688609,Filter1
347,002033,
348,002112,Filter2
349,603860,Filter2
350,600857,Filter3
351,300528,Filter2
352,600637,Filter2
353,688593,Filter3
354,300459,Filter2
355,301195,Filter2
356,001330,
357,002172,Filter2
358,002244,Filter3
359,603398,Filter3
360,688262,Filter3
361,002988,Filter2
362,688667,Filter1
363,002330,Filter2
364,600052,Filter2
365,300426,Filter2
366,300322,Filter1
367,301511,
368,000948,Filter2
369,603660,Filter3
370,002678,Filter2
371,603990,Filter2
372,600728,Filter2
373,300552,Filter1
374,002094,Filter2
375,301329,Filter2
376,300795,Filter2
377,300645,Filter2
378,001211,Filter2
379,301096,
380,300987,Filter2
381,300612,Filter2
382,603389,
383,300267,Filter2
384,688489,Filter2
385,301139,Filter2
386,002955,Filter2
387,600858,Filter2
388,300859,Filter2
389,300370,Filter2
390,002331,Filter2
391,002225,Filter2
392,002973,Filter2
393,301218,Filter3
394,300532,Filter2
395,300798,Filter2
396,000625,Filter2
397,301589,
398,603038,Filter2
399,002931,Filter2
400,600243,Filter3
401,300579,Filter2
402,300898,Filter2
403,300599,Filter2
404,300921,Filter3
405,300043,Filter2
406,300875,
407,301302,Filter2
408,600410,Filter2
409,300961,Filter2
410,300366,Filter2
411,002851,Filter3
412,300870,Filter1
413,002214,Filter3
414,600753,Filter3
415,301262,Filter2
416,603813,
417,600679,Filter2
418,300935,Filter2
419,000628,Filter2
420,002419,Filter3
421,601999,Filter2
422,002824,Filter1
423,301382,Filter1
424,688153,Filter1
425,301093,Filter2
426,688488,
427,002495,Filter3
428,688512,Filter2
429,688588,Filter2
430,300597,Filter2
431,300458,Filter2
432,300672,Filter1
433,605179,Filter2
434,002319,Filter2
435,300311,Filter2
436,000610,
437,002313,Filter3
438,688595,Filter1
439,600080,Filter2
440,688217,Filter2
441,002386,Filter2
442,688695,
443,301586,
444,603825,Filter3
445,603918,Filter1
446,600640,Filter2
447,600977,
448,688662,Filter2
449,300075,Filter2
450,002518,Filter2
451,688651,Filter2
452,301207,
453,600571,Filter3
454,002816,
455,600538,Filter2
456,300210,Filter2
457,600706,
458,603528,Filter3
459,002729,Filter2
460,300052,Filter1
461,301070,Filter2
462,000006,Filter2
463,002390,Filter2
464,002063,Filter2
465,688131,Filter2
466,002178,Filter2
467,688083,Filter2
468,003040,Filter3
469,002301,Filter3
470,002474,Filter2
471,600533,Filter2
472,301024,
473,002702,Filter2
474,600050,Filter2
475,300365,Filter2
476,600279,Filter2
477,002821,Filter2
478,002912,Filter2
479,002653,
480,301337,
481,688386,Filter2
482,600184,Filter2
483,002719,Filter2
484,300955,Filter2
485,001212,
486,300252,Filter2
487,600730,Filter2
488,002712,Filter2
489,002238,
490,600733,Filter2
491,603776,Filter2
492,000665,Filter2
493,300977,Filter2
494,600358,Filter2
495,002820,Filter3
496,300448,Filter1
497,688212,
498,301239,
499,600501,Filter2
500,300423,Filter2
501,301270,Filter2
502,300511,Filter2
503,603669,Filter2
504,600131,Filter2
505,002663,Filter2
506,601828,Filter2
507,603819,Filter2
508,300025,
509,000571,Filter2
510,301360,Filter2
511,301231,Filter2
512,600855,Filter2
513,688658,Filter3
514,301259,Filter2
515,002329,
516,000761,Filter1
517,002090,Filter3
518,002272,Filter3
519,300027,Filter2
520,603186,Filter2
521,688148,Filter2
522,301042,Filter2
523,603171,Filter2
524,300299,Filter3
525,603191,Filter2
526,600340,Filter2
527,000632,Filter2
528,300212,Filter1
529,301248,Filter2
530,300541,Filter2
531,002115,Filter2
532,000978,
533,600463,
534,300467,Filter1
535,603466,Filter2
536,002917,Filter3
537,300134,Filter2
538,301380,Filter2
539,000503,Filter1
540,002017,Filter2
541,000721,Filter3
542,300053,Filter2
543,300231,Filter1
544,688261,Filter2
545,688157,
546,301169,Filter2
547,600186,Filter1
548,003010,Filter1
549,300123,Filter2
550,002919,Filter2
551,603118,Filter1
552,002501,Filter2
553,300468,Filter2
554,300981,Filter2
555,000929,
556,001389,
557,600288,Filter2
558,601599,Filter2
559,688246,Filter1
560,300765,Filter2
561,301392,Filter1
562,002908,Filter2
563,002133,Filter2
564,688270,Filter2
565,688022,Filter2
566,600802,Filter2
567,300266,Filter2
568,300783,Filter3
569,300197,Filter2
570,002418,Filter2
571,600622,Filter2
572,603122,Filter2
573,300291,Filter2
574,002373,Filter1
575,688258,Filter2
576,001296,Filter2
577,688788,Filter2
578,688580,Filter2
579,301078,Filter2
580,600829,Filter2
581,300551,
582,002519,
583,002322,Filter2
584,688583,Filter1
585,600370,Filter2
586,002638,Filter2
587,603900,
588,600272,Filter2
589,300911,Filter2
590,600283,Filter2
591,301213,Filter2
